id,angular_moment,contrast,variance,idm,sum_average,entropy,sum_variance,sum_entropy,difference_variance,difference_entropy
fyc-00_1,7070256838,15909626,2.29E+18,91263.22508,8713747,123714.028,9.84E+18,-518598.9553,3.06E+16,532570.9575
fyc-00_2,7734562070,18688576,2.24E+18,94423.16098,8557256,125318.9529,9.49E+18,-526682.9493,3.33E+16,544934.9047
fyc-00_3,8053126264,21118254,1.37E+18,94315.20521,6826807,120450.2936,6.04E+18,-539756.905,2.84E+16,529660.5816
fyc-00_4,5134624258,15002928,3.65E+18,87904.06015,10758003,129731.2226,1.50E+19,-480278.0383,3.51E+16,545083.7116
hy-00_1,5340406260,16653486,2.68E+18,86929.85759,9355066,125773.8747,1.13E+19,-488447.4462,3.30E+16,529391.4476
hy-00_2,7356895356,19682866,1.56E+18,91547.94763,7230755,122522.5747,6.77E+18,-524805.7175,3.19E+16,528421.5772
hy-00_3,7500614876,20116630,1.70E+18,92145.50507,7544977,122344.5566,7.37E+18,-527572.8833,3.14E+16,530498.3415
hy-00_4,6730910464,18389200,1.76E+18,89994.22762,7641098,123389.8369,7.56E+18,-513880.25,3.22E+16,528273.1446
ljg-00_1,6818866422,18583708,3.39E+18,90833.12211,10493766,126294.3097,1.43E+19,-509262.2789,3.54E+16,539450.9403
ljg-00_2,4516018826,12964862,5.08E+18,83559.51421,12592095,132682.5018,2.05E+19,-462729.5769,3.76E+16,546447.4715
ljg-00_3,6083607468,16559972,2.64E+18,86433.45247,9413287,122657.8182,1.15E+19,-502375.8471,3.17E+16,516714.3251
ljg-00_4,4555740322,13228172,5.25E+18,84858.406,12803745,132233.1528,2.12E+19,-464737.9643,3.77E+16,548058.5934
lqf-00_1,6098665020,20596892,2.71E+18,87576.29031,9506567,123109.7629,1.17E+19,-503465.9503,3.65E+16,522116.7269
lqf-00_2,5756544130,19617966,3.31E+18,85903.09167,10403377,125867.0232,1.40E+19,-492370.9924,3.92E+16,525951.0396
lqf-00_3,6548612726,20239772,2.76E+18,88686.6686,9595933,123290.7839,1.19E+19,-509139.8059,3.54E+16,523105.5539
lqf-00_4,5751882734,17318102,3.11E+18,86710.35543,10057424,126531.1927,1.31E+19,-492242.8577,3.61E+16,530919.3991
lsl-00_1,6557468832,18422980,2.82E+18,89784.11115,9589799,125825.454,1.19E+19,-506460.0589,3.42E+16,536224.9082
lsl-00_2,6334244522,16020588,2.99E+18,88392.5989,9812552,127662.0555,1.25E+19,-500112.8256,3.78E+16,539840.0446
lsl-00_3,6328023242,16603156,3.14E+18,88993.09058,10092994,126735.3048,1.32E+19,-501131.9498,3.52E+16,537095.1065
lsl-00_4,6780769176,17705986,2.69E+18,90322.65535,9323209,126847.584,1.13E+19,-508070.0458,3.53E+16,540464.8559
ml-00_1,6885676130,17411620,3.78E+18,93762.7704,10956414,129152.3589,1.56E+19,-509815.0585,3.51E+16,555682.0452
ml-00_2,4330248214,16797982,4.85E+18,84412.94844,12417127,129733.4416,2.00E+19,-465097.2072,3.69E+16,538046.668
ml-00_3,5367522488,14379542,4.15E+18,89048.28895,11474789,129673.1763,1.71E+19,-485402.5075,3.55E+16,548280.7415
ml-00_4,7123344644,19644522,1.87E+18,90519.59039,7928505,122041.7861,8.14E+18,-522158.4942,3.12E+16,526024.7312
nhz-00_1,6493296162,19321556,2.76E+18,88800.9119,9597206,123046.2084,1.19E+19,-508712.401,3.46E+16,524138.387
nhz-00_2,6631770752,18655416,2.37E+18,88478.58253,8954379,121146.4145,1.04E+19,-514807.2439,3.12E+16,517894.0297
nhz-00_3,4962446400,15833160,3.71E+18,84199.1498,11023197,125781.1401,1.57E+19,-480124.378,3.57E+16,522698.1871
nhz-00_4,6675499268,19774028,2.47E+18,89219.64589,9120173,121565.6051,1.08E+19,-514760.1423,3.15E+16,520648.6564
rj-00_1,7338723574,20990990,1.73E+18,92917.4323,7626609,121663.8625,7.53E+18,-528211.7399,3.10E+16,532143.3203
rj-00_2,6732240376,17902322,2.15E+18,90231.65203,8424542,123982.9221,9.19E+18,-512730.1799,3.28E+16,532047.4984
rj-00_3,6774144786,20277172,1.78E+18,90562.58425,7724266,121903.6536,7.73E+18,-517633.8022,3.25E+16,526427.9861
rj-00_4,6648073428,18545014,2.04E+18,91108.16115,8218139,123375.0717,8.75E+18,-514947.4188,3.28E+16,533603.159
syj-00_1,5783512724,18611144,3.80E+18,85585.27831,11097357,126738.5673,1.60E+19,-492031.4693,4.67E+16,531162.489
syj-00_2,5962055094,19227416,3.03E+18,87145.67619,9970815,125327.6152,1.29E+19,-497304.0233,4.03E+16,528257.3061
syj-00_3,6094362824,17785414,3.81E+18,88297.44103,11059940,127905.81,1.58E+19,-496180.6622,4.25E+16,540236.7426
syj-00_4,6233743950,16913696,3.50E+18,89607.22879,10607563,127474.6526,1.46E+19,-499165.8767,4.00E+16,541752.4387
wl-00_1,3666303156,17345006,3.79E+18,75076.83783,11347927,121474.727,1.67E+19,-461419.5845,4.54E+16,491713.1519
