id,angular_moment,contrast,variance,idm,sum_average,entropy,sum_variance,sum_entropy,difference_variance,difference_entropy
fyc-00_1,7070221116.0,15906618.0,2.2933131955609551e+18,91247.73810212137,8713219.0,123724.28654551842,9.834473524289423e+18,-518577.3933563016,3.0564965859916104e+16,532507.4168906213
fyc-00_2,7734562070.0,18688576.0,2.2427762118381286e+18,94423.16098142928,8557256.0,125318.95291206201,9.48557276186326e+18,-526682.9492564078,3.3314998646821576e+16,544934.9046770552
fyc-00_3,8053109388.0,21118226.0,1.3739294594358344e+18,94302.13534691051,6826231.0,120458.29887224975,6.036060103845364e+18,-539738.0770542038,2.8369683620191504e+16,529589.282424718
fyc-00_4,5134624258.0,15002928.0,3.649574232242492e+18,87904.06015140757,10758003.0,129731.2226309742,1.499199615179015e+19,-480278.0383207016,3.514356432008751e+16,545083.7115683497
hy-00_1,5340406260.0,16653486.0,2.678181065239114e+18,86929.85758923087,9355066.0,125773.87466092002,1.1336744521683843e+19,-488447.4461695127,3.2969786617864016e+16,529391.4475737376
hy-00_2,7356895356.0,19682866.0,1.562093116942104e+18,91547.94763478213,7230755.0,122522.57468195393,6.772670087783337e+18,-524805.7174715063,3.193451486065955e+16,528421.5772130297
hy-00_3,7500614876.0,20116630.0,1.7018561220923494e+18,92145.5050714715,7544977.0,122344.55655471302,7.374093972338677e+18,-527572.8832652788,3.144504181905241e+16,530498.3414938372
hy-00_4,6730896880.0,18386400.0,1.7558925904878246e+18,89968.82277581484,7640842.0,123398.78123640726,7.562678446863948e+18,-513860.2199836512,3.220809431860445e+16,528189.5047462723
ljg-00_1,6818354608.0,18556566.0,3.390091090590662e+18,90579.20592736459,10493626.0,126462.32453163071,1.4264164954940301e+19,-508556.8302332506,3.539817824428343e+16,538679.1239496154
ljg-00_2,4516018826.0,12964862.0,5.081789202284057e+18,83559.51420994313,12592095.0,132682.50177982808,2.0539639641199096e+19,-462729.57688170404,3.762600688677712e+16,546447.4715093205
ljg-00_3,6083607468.0,16559972.0,2.6424247994967823e+18,86433.45247151154,9413287.0,122657.81823116068,1.1478262667857644e+19,-502375.8470761486,3.166643650583523e+16,516714.3251418402
ljg-00_4,4555740322.0,13228172.0,5.249788234075074e+18,84858.40599852015,12803745.0,132233.1527872742,2.1235908810815844e+19,-464737.9642754647,3.773394199520008e+16,548058.5934491252
lqf-00_1,6098652810.0,20594196.0,2.7108554172370954e+18,87555.45816315472,9506279.0,123116.02273399079,1.1706174345776849e+19,-503456.31143773743,3.647949940084219e+16,522053.1979773829
lqf-00_2,5756532336.0,19615974.0,3.308774253008784e+18,85895.76582292335,10403185.0,125874.70648555079,1.4019339340041708e+19,-492352.40114422055,3.923575297684072e+16,525936.4696220896
lqf-00_3,6548612718.0,20240280.0,2.763483163888581e+18,88686.67842848244,9595917.0,123292.21346276483,1.1927980062136918e+19,-509136.54577179847,3.538841708011635e+16,523105.5888579791
lqf-00_4,5751869254.0,17316212.0,3.1097565680018693e+18,86702.98572068861,10057174.0,126545.71609116101,1.3102282302072232e+19,-492225.33331783913,3.612461871741507e+16,530895.2807663736
